Link Recipe Title Recipe Categories Ingredients List
https://www.gordonramsay.com/gr/recipes/apple-crumble/, Apple Crumble, Vegetarian|Dessert|Christmas, caster sugar|ground cinnamon|vanilla pod|apples|dried cranberries|lemon|plain flour|demerara sugar|butter|ground cinnamon|muesli
https://www.gordonramsay.com/gr/recipes/olive-tomato-and-rosemary-focaccia/, Olive  Tomato & Rosemary Focaccia, Vegetarian, strong bread flour|coarse semolina|dried yeast|olive oil|pitted black olives|sunblush tomatoes|rosemary sprigs|sea salt |ground black pepper
https://www.gordonramsay.com/gr/recipes/fish-pie/, Fish Pie, Fish|Pie, onion|olive oil|butter|thyme sprig|dry vermouth|pernod |plain flour|vegetable stock |milk|double cream|parsley|salmon fillets|haddock fillets|queen scallops|king prawns|lemon juice|sea salt |ground black pepper|desirée potatoes|butter|hot milk|egg yolks|cheddar cheese
https://www.gordonramsay.com/gr/recipes/slam-dunk-meatball-subs/, Slam Dunk Meatball Subs, Kids, onion|garlic cloves|flat-leaf parsley leaves|stale white bread|milk|egg|beef mince|worcestershire sauce|dried oregano|salt |pepper|vegetable oil|onion|garlic clove|olive oil|dried oregano|salt |pepper|tomatoes|flat-leaf parsley leaves|basil leaves|cheddar cheese|sub rolls
https://www.gordonramsay.com/gr/recipes/bananas-in-pyjamas/, Bananas in Pyjamas, Kids, bananas|crunchy peanut butter|chocolate chips|mini marshmallows
https://www.gordonramsay.com/gr/recipes/cornish-seaside-sausage-spaghetti/, Cornish Seaside Sausage Spaghetti, Kids, onion|garlic cloves|pork sausages|lemons|flat-leaf parsley leaves|dried spaghetti|sunflower oil|chilli flakes |chicken stock|crème fraîche|salt |pepper 
https://www.gordonramsay.com/gr/recipes/popcorn-chicken-and-prawns/, Popcorn Chicken and Prawns, Kids, vegetable oil|popcorn kernels|dried breadcrumbs|salt |pepper|eggs|chicken|breasts chopped up|peeled raw prawns|gherkins|spring onions|mayonnaise|tomato ketchup|worcestershire sauce|lemon|flat-leaf parsley leaves|food processor
https://www.gordonramsay.com/gr/recipes/ice-cream-sandwiches/, Ice Cream Sandwiches, Kids, croissants|eggs|milk|ground cinnamon|vanilla extract|caster sugar|butter|vanilla ice cream|maple syrup|for the cinnamon sugar|caster sugar|ground cinnamon
https://www.gordonramsay.com/gr/recipes/lean-machine-chicken-skewers/, Lean Machine Chicken Skewers, Chicken|Summer|Kids, pine nuts|garlic clove|red chilli |parmesan cheese|sun-blushed tomatoes in oil |chicken |flat-leaf parsley leaves|food processor|skewers 
https://www.gordonramsay.com/gr/recipes/pop-power-chocolate-brownies/, Pop Power Chocolate Brownies, Kids, butter|caster sugar|dark chocolate|plain flour|salt|vanilla extract|cocoa powder|eggs|dried sour cherries|milk|popping candy|sprinkles|brownie tin|heatproof bowl that fits over a saucepan
https://www.gordonramsay.com/gr/recipes/crazy-sticky-ribs/, Crazy Sticky Ribs, Kids, onion|garlic cloves|olive oil|chilli flakes |fennel seeds|dark soft brown sugar|tomato ketchup|dark soy sauce|rack of pork spare ribs|salt |pepper
https://www.jamieoliver.com/recipes/fruit-recipes/grilled-strawberries-with-pimm-s/, Grilled strawberries with Pimm's, Fruit|Wimbledon|Strawberry, strawberries|vanilla sugar|stem ginger|Pimm's|vanilla ice cream
https://www.jamieoliver.com/recipes/fruit-recipes/amalfi-lemon-tart/, Amalfi lemon tart, Italian, plain flour|icing sugar|olive oil|Greco di Tufo white wine|vanilla bean paste|lemons|ricotta cheese|caster sugar|eggs
https://www.jamieoliver.com/recipes/fruit-recipes/royal-rhubarb-custard-cake/, Louis' royal rhubarb & custard cake, Vegetarian, butter|self-raising flour|golden caster sugar|vanilla bean paste|eggs|baking powder|rhubarb|golden caster sugar|custard powder|icing sugar|semi-skimmed milk|butter|icing sugar
https://www.jamieoliver.com/recipes/chocolate-recipes/lamingtons/, Lamingtons, Chocolate|Australia day|Afternoon tea|Vegetarian, butter|self-raising flour|golden caster sugar|eggs|milk|vanilla extract|baking powder|dark chocolate|icing sugar|desiccated coconut|raspberry jam
https://www.jamieoliver.com/recipes/fruit-recipes/watermelon-granita/, Watermelon granita, Fruit|Gluten-free|Vegetarian|5 Ingredients – Quick & Easy Food, watermelon|stem ginger in syrup|limes|mint|natural yoghurt
https://www.jamieoliver.com/recipes/fruit-recipes/pineapple-carpaccio/, Pineapple carpaccio, Fruit|Vegetarian|Gluten-free|5 Ingredients – Quick & Easy Food, mint|pineapple|blueberries|Greek-style coconut yoghurt|lime
https://www.jamieoliver.com/recipes/fruit-recipes/frozen-cranberry-cranachan/, Frozen cranberry cranachan, , pack of frozen cranberries|frozen raspberries|caster sugar|Drambuie|olive oil|oats|caster sugar|egg yolks|caster sugar|clear wildflower honey|double cream|Drambuie
https://www.jamieoliver.com/recipes/apple-recipes/beer-cardamom-apple-fritters/, Beer & cardamom apple fritters, , cardamom pods|plain flour|cornflour|baking powder|caster sugar|ground cinnamon|egg yolks|chilled lager|Bramley apples|vegetable oil|dark chocolate|whole milk|double cream|salted butter|light brown muscovado sugar
https://www.jamieoliver.com/recipes/butternut-squash-recipes/pumpkin-pie-with-pecan-crumble/, Pumpkin pie with pecan crumble, Thanksgiving|Christmas, butter|plain flour|icing sugar|vanilla pod|egg|semi-skimmed milk|butternut squash|whole nutmeg|ground ginger|ground cinnamon|soft brown sugar|maple syrup|butter|eggs|pecans|butter|plain flour|soft brown sugar|maple syrup
https://www.jamieoliver.com/recipes/fruit-recipes/blackcurrant-ombr-cheesecake/, Blackcurrant ombré cheesecake, Fruit, butter|oaty biscuits|vanilla pod|light cream cheese|double cream|Tiptree blackcurrant jam|gelatine|blackcurrants and blackberries
https://www.jamieoliver.com/recipes/bread-recipes/cardamom-clementine-morning-buns/, Cardamom clementine morning buns, Vegetarian, plain flour|caster sugar|dried yeast|whole milk|butter|ground cardamom|ground cinnamon|light brown muscovado sugar|caster sugar|clementines|butter
https://www.jamieoliver.com/recipes/fruit-recipes/apple-date-pie/, Apple & date pie, Fruit|Vegetarian, butter|plain flour|lemon|egg yolk|bramley apples|braeburn apples|medjool dates|soft light muscovado sugar|ground cinnamon|ground cloves|egg|milk|demerara sugar
https://www.jamieoliver.com/recipes/chocolate-recipes/cherry-chocolate-mousse/, Cherry chocolate mousse, Chocolate|Vegetarian|Gluten-free|5 Ingredients – Quick & Easy Food, dark chocolate|black pitted cherries in syrup|double cream|eggs|golden caster sugar
https://www.jamieoliver.com/recipes/egg-recipes/almond-pastry-puff/, Almond pastry puff, Vegetarian|5 Ingredients – Quick & Easy Food, blanched almonds|double cream|icing sugar|eggs|all-butter puff pastry
https://www.jamieoliver.com/recipes/fruit-recipes/pimm-s-strawberry-cobbler/, Pimm’s & strawberry cobbler, Vegetarian, strawberries|vanilla pod|orange|soft brown sugar|Pimm's|vanilla ice cream|whole almonds|self-raising flour|caster sugar|butter
